id,lat,lon,radius_m,label
13256686256,41.273890,-72.561450,300,CT-86256
13253277885,41.275630,-72.547410,300,CT-77885
13253277888,41.275800,-72.511820,300,CT-77888
13316099401,41.277440,-72.626850,300,CT-99401
13253277886,41.278600,-72.528140,300,CT-77886
13253277887,41.278780,-72.528330,300,CT-77887
13253277890,41.279030,-72.533050,300,CT-77890
13316097401,41.279450,-72.598430,300,CT-97401
13256686257,41.285660,-72.645240,300,CT-86257
13250771555,41.287070,-72.602050,300,CT-71555
13253277889,41.287080,-72.528350,300,CT-77889
13274791436,41.290290,-72.529560,300,CT-91436
13410849457,41.292320,-72.787640,300,CT-49457
13354691203,41.296680,-72.764640,300,CT-91203
13414586883,41.296860,-72.764200,300,CT-86883
